,ref,LED1,LED2,LED3
554,0.001203002,2.09E-05,2.69E-06,7.40E-07
555,0.001114976,2.07E-05,1.09E-06,1.14E-06
556,0.001032962,1.97E-05,3.02E-06,1.22E-06
557,0.000961801,1.80E-05,3.75E-06,1.51E-06
558,0.0008899,1.67E-05,5.03E-06,2.93E-07
559,0.00082945,1.57E-05,5.42E-06,0
560,0.000772266,1.40E-05,6.80E-06,7.18E-07
561,0.000719848,1.31E-05,8.29E-06,1.58E-06
562,0.000670586,1.22E-05,9.67E-06,5.08E-07
563,0.000624074,1.37E-05,1.16E-05,0
564,0.000582101,1.29E-05,1.34E-05,6.51E-07
565,0.000544458,1.23E-05,1.58E-05,1.22E-06
566,0.00051055,1.12E-05,1.81E-05,4.09E-07
567,0.000478486,1.12E-05,1.98E-05,1.12E-06
568,0.000448585,9.65E-06,2.23E-05,1.36E-06
569,0.000421293,9.40E-06,2.89E-05,7.41E-07
570,0.000396796,8.56E-06,3.27E-05,1.12E-06
571,0.00037222,9.23E-06,3.86E-05,8.50E-07
572,0.000350259,8.31E-06,4.23E-05,1.80E-06
573,0.000329102,7.35E-06,5.14E-05,7.03E-07
574,0.000310267,6.05E-06,5.80E-05,6.84E-07
575,0.00029334,4.47E-06,6.60E-05,0
576,0.00027726,1.65E-06,7.62E-05,0
577,0.000263021,1.84E-06,8.99E-05,0
578,0.000247793,3.86E-06,0.000103913,2.76E-07
579,0.000234969,6.07E-06,0.000120936,2.76E-06
580,0.000222651,6.64E-06,0.000140505,4.15E-06
581,0.000211399,5.26E-06,0.00016125,3.88E-06
582,0.000200938,5.55E-06,0.000184009,5.55E-06
583,0.000189329,3.06E-06,0.000209902,7.23E-06
584,0.000179628,3.90E-06,0.000244238,7.80E-06
585,0.000171288,3.07E-06,0.000277296,8.65E-06
586,0.000164035,3.07E-06,0.000317731,9.50E-06
587,0.000156757,3.36E-06,0.000364181,1.18E-05
588,0.000148052,4.77E-06,0.000417797,1.54E-05
589,0.000140439,4.77E-06,0.000479739,1.83E-05
590,0.000133587,5.57E-06,0.00054549,2.19E-05
591,0.000126627,4.82E-06,0.000620395,2.52E-05
592,0.00012063,3.53E-06,0.00070529,2.86E-05
593,0.000114443,3.82E-06,0.000807549,3.27E-05
594,0.000110047,3.34E-06,0.000926408,3.95E-05
595,0.000104444,5.90E-06,0.001048159,4.34E-05
596,9.91E-05,5.49E-06,0.001192199,4.91E-05
597,9.42E-05,3.73E-06,0.001352545,5.61E-05
598,9.03E-05,3.17E-06,0.001528422,6.27E-05
599,8.48E-05,3.88E-06,0.001724989,7.20E-05
600,8.08E-05,2.17E-06,0.001955451,8.25E-05
601,7.66E-05,3.41E-06,0.002211204,9.47E-05
602,7.29E-05,3.76E-06,0.00249464,0.000106735
603,6.88E-05,4.11E-06,0.002816674,0.000121721
604,6.47E-05,3.34E-06,0.00318435,0.000137851
605,6.10E-05,1.38E-06,0.003603255,0.000157323
606,5.71E-05,4.72E-07,0.004066153,0.000176136
607,5.48E-05,0,0.004584572,0.000198657
608,5.28E-05,0,0.005148429,0.000224992
609,5.08E-05,0,0.005768511,0.000254694
610,4.57E-05,0,0.00644907,0.000285656
611,3.82E-05,0,0.007220114,0.000320797
612,3.56E-05,0,0.008070403,0.000365682
613,3.54E-05,1.46E-06,0.009002067,0.000416267
614,3.40E-05,4.68E-06,0.010020175,0.000477848
615,3.20E-05,4.69E-06,0.011138627,0.000540801
616,3.03E-05,3.82E-06,0.01242722,0.000611006
617,2.97E-05,4.41E-06,0.013932666,0.00069144
618,3.01E-05,4.42E-06,0.015512183,0.000782741
619,2.86E-05,2.66E-06,0.017259385,0.000885551
620,2.69E-05,2.37E-06,0.019152589,0.00099608
621,2.55E-05,2.07E-06,0.021317446,0.001123841
622,2.51E-05,5.04E-07,0.023759303,0.001272979
623,2.41E-05,1.96E-06,0.026388551,0.001435871
624,2.29E-05,2.95E-06,0.029323834,0.00161133
625,2.23E-05,2.50E-06,0.032535736,0.001810294
626,2.09E-05,2.78E-06,0.035905324,0.002023111
627,1.98E-05,3.32E-06,0.039401613,0.002263001
628,1.94E-05,2.90E-06,0.042783002,0.002533502
629,1.87E-05,6.40E-07,0.045511285,0.002825071
630,1.74E-05,1.44E-06,0.047168223,0.003137322
631,1.66E-05,1.50E-06,0.047636468,0.003487531
632,1.64E-05,4.70E-06,0.046732829,0.003864121
633,1.60E-05,7.24E-06,0.044504368,0.004287586
634,1.61E-05,5.44E-06,0.041056746,0.004776345
635,1.52E-05,7.45E-06,0.03704421,0.00529421
636,1.38E-05,5.73E-06,0.032800343,0.005883318
637,1.31E-05,3.52E-06,0.028571014,0.006538773
638,1.27E-05,3.56E-06,0.024601274,0.007277612
639,1.16E-05,1.92E-06,0.020892618,0.008109571
640,1.17E-05,2.96E-06,0.017446424,0.009047378
641,1.04E-05,1.56E-06,0.014600311,0.010045757
642,9.55E-06,2.20E-06,0.012142893,0.011163207
643,9.20E-06,2.85E-06,0.010106875,0.012406588
644,9.00E-06,1.69E-06,0.008386987,0.013776686
645,8.77E-06,2.03E-06,0.006963232,0.015304863
646,8.75E-06,2.25E-06,0.005725957,0.017084097
647,7.99E-06,4.10E-06,0.004733498,0.018960093
648,7.48E-06,3.12E-06,0.003903018,0.02099452
649,6.41E-06,1.73E-06,0.003223398,0.023250479
650,6.48E-06,3.20E-07,0.002678639,0.025699859
651,6.98E-06,1.09E-06,0.002234945,0.02843948
652,6.81E-06,3.30E-06,0.001865242,0.031377803
